row_number,transction_year,transction_month,listing_province_name_en,listing_province_name_th,listing_district_name_th,listing_district_name_en,project_propertytype_name_th,project_propertytype_name_en,total_listing,median_asking_price_sqm,day
1543,2021,1,BANGKOK,กรุงเทพมหานคร,คันนายาว,KHAN NA YAO,คอนโด,Condo,31,58836,2022-09-05
255,2020,11,BANGKOK,กรุงเทพมหานคร,ประเวศ,PRAWET,คอนโด,Condo,41,57602,2022-09-05
1091,2020,7,BANGKOK,กรุงเทพมหานคร,คลองเตย,KHLONG TOEI,คอนโด,Condo,181,148407,2022-09-05
1445,2021,2,NONTHABURI,นนทบุรี,บางใหญ่,BANG YAI,คอนโด,Condo,13,84587,2022-09-05
1644,2020,7,BANGKOK,กรุงเทพมหานคร,ราษฎร์บูรณะ,RAT BURANA,คอนโด,Condo,18,66141,2022-09-05
1178,2021,5,BANGKOK,กรุงเทพมหานคร,ยานนาวา,YAN NAWA,คอนโด,Condo,501,90583,2022-09-05
829,2021,10,BANGKOK,กรุงเทพมหานคร,ธนบุรี,THON BURI,คอนโด,Condo,389,93840,2022-09-05
2065,2020,12,NONTHABURI,นนทบุรี,เมืองนนทบุรี,MUEANG NONTHABURI,ทาวน์โฮม,Townhome,33,30770,2022-09-05
723,2020,8,BANGKOK,กรุงเทพมหานคร,คลองสาน,KHLONG SAN,คอนโด,Condo,88,103225,2022-09-05
2024,2021,8,SAMUT PRAKAN,สมุทรปราการ,บางพลี,BANG PHLI,ทาวน์โฮม,Townhome,54,32728,2022-09-05
678,2020,2,BANGKOK,กรุงเทพมหานคร,ยานนาวา,YAN NAWA,คอนโด,Condo,34,85392,2022-09-05
2170,2020,4,BANGKOK,กรุงเทพมหานคร,บางรัก,BANG RAK,บ้าน,Detached House,21,25380,2022-09-05
286,2021,4,BANGKOK,กรุงเทพมหานคร,ห้วยขวาง,HUAI KHWANG,คอนโด,Condo,1381,106091,2022-09-05
1681,2021,12,SAMUT PRAKAN,สมุทรปราการ,พระประแดง,PHRA PRADAENG,คอนโด,Condo,17,71968,2022-09-05
700,2021,8,BANGKOK,กรุงเทพมหานคร,คลองเตย,KHLONG TOEI,คอนโด,Condo,3583,160053,2022-09-05
367,2019,3,BANGKOK,กรุงเทพมหานคร,ยานนาวา,YAN NAWA,คอนโด,Condo,49,79506,2022-09-05
1436,2020,9,BANGKOK,กรุงเทพมหานคร,ภาษีเจริญ,PHASI CHAROEN,คอนโด,Condo,53,64770,2022-09-05
102,2019,12,BANGKOK,กรุงเทพมหานคร,บางรัก,BANG RAK,คอนโด,Condo,608,102704,2022-09-05
964,2019,10,BANGKOK,กรุงเทพมหานคร,คลองเตย,KHLONG TOEI,คอนโด,Condo,2527,155092,2022-09-05
1944,2021,4,SAMUT PRAKAN,สมุทรปราการ,เมืองสมุทรปราการ,MUEANG SAMUT PRAKAN,ทาวน์โฮม,Townhome,15,33712,2022-09-05
2021,2021,1,NONTHABURI,นนทบุรี,เมืองนนทบุรี,MUEANG NONTHABURI,ทาวน์โฮม,Townhome,17,32392,2022-09-05
1952,2019,11,BANGKOK,กรุงเทพมหานคร,ทุ่งครุ,THUNG KHRU,ทาวน์โฮม,Townhome,13,23483,2022-09-05
948,2021,1,NONTHABURI,นนทบุรี,ปากเกร็ด,PAK KRET,คอนโด,Condo,291,74366,2022-09-05
1916,2021,11,BANGKOK,กรุงเทพมหานคร,ดอนเมือง,DON MUEANG,บ้าน,Detached House,11,46321,2022-09-05
494,2020,6,BANGKOK,กรุงเทพมหานคร,ดินแดง,DIN DAENG,คอนโด,Condo,51,92864,2022-09-05
1593,2019,2,BANGKOK,กรุงเทพมหานคร,จอมทอง,CHOM THONG,คอนโด,Condo,22,82455,2022-09-05
1059,2019,1,BANGKOK,กรุงเทพมหานคร,พระโขนง,PHRA KHANONG,คอนโด,Condo,98,108366,2022-09-05
1713,2022,1,PATHUM THANI,ปทุมธานี,ลำลูกกา,LAM LUK KA,คอนโด,Condo,11,62051,2022-09-05
1172,2019,4,BANGKOK,กรุงเทพมหานคร,ราษฎร์บูรณะ,RAT BURANA,คอนโด,Condo,35,71439,2022-09-05
1052,2021,8,BANGKOK,กรุงเทพมหานคร,บางเขน,BANG KHEN,คอนโด,Condo,267,83513,2022-09-05
563,2021,12,BANGKOK,กรุงเทพมหานคร,บึงกุ่ม,BUENG KUM,คอนโด,Condo,83,62327,2022-09-05
1613,2020,12,NONTHABURI,นนทบุรี,เมืองนนทบุรี,MUEANG NONTHABURI,คอนโด,Condo,491,62998,2022-09-05
1882,2019,11,PATHUM THANI,ปทุมธานี,ลำลูกกา,LAM LUK KA,บ้าน,Detached House,33,18904,2022-09-05
1970,2021,6,NONTHABURI,นนทบุรี,บางใหญ่,BANG YAI,บ้าน,Detached House,13,25386,2022-09-05
315,2020,6,SAMUT PRAKAN,สมุทรปราการ,เมืองสมุทรปราการ,MUEANG SAMUT PRAKAN,คอนโด,Condo,37,66324,2022-09-05
1294,2021,5,BANGKOK,กรุงเทพมหานคร,บางกอกใหญ่,BANGKOK YAI,คอนโด,Condo,74,75871,2022-09-05
1815,2020,8,NONTHABURI,นนทบุรี,เมืองนนทบุรี,MUEANG NONTHABURI,ทาวน์โฮม,Townhome,15,22557,2022-09-05
1604,2021,7,SAMUT PRAKAN,สมุทรปราการ,เมืองสมุทรปราการ,MUEANG SAMUT PRAKAN,คอนโด,Condo,672,83326,2022-09-05
781,2020,1,BANGKOK,กรุงเทพมหานคร,สวนหลวง,PHATTHANAKAN,คอนโด,Condo,15,70195,2022-09-05
599,2021,7,BANGKOK,กรุงเทพมหานคร,บางกะปิ,BANG KAPI,คอนโด,Condo,348,74778,2022-09-05
492,2021,11,BANGKOK,กรุงเทพมหานคร,สวนหลวง,SUAN LUANG,คอนโด,Condo,827,68153,2022-09-05
1033,2019,12,BANGKOK,กรุงเทพมหานคร,พญาไท,PHAYA THAI,คอนโด,Condo,33,123313,2022-09-05
586,2022,1,BANGKOK,กรุงเทพมหานคร,จตุจักร,CHATUCHAK,คอนโด,Condo,1355,114206,2022-09-05
378,2019,11,SAMUT PRAKAN,สมุทรปราการ,พระประแดง,PHRA PRADAENG,คอนโด,Condo,35,67443,2022-09-05
1011,2019,10,BANGKOK,กรุงเทพมหานคร,พระโขนง,PHRA KHANONG,คอนโด,Condo,925,104730,2022-09-05
1520,2021,12,BANGKOK,กรุงเทพมหานคร,ปทุมวัน,PATHUM WAN,คอนโด,Condo,1032,196680,2022-09-05
1451,2019,8,SAMUT PRAKAN,สมุทรปราการ,บางพลี,BANG PHLI,คอนโด,Condo,62,69090,2022-09-05
896,2020,9,BANGKOK,กรุงเทพมหานคร,สวนหลวง,SUAN LUANG,คอนโด,Condo,85,66718,2022-09-05
1744,2021,5,BANGKOK,กรุงเทพมหานคร,บางขุนเทียน,BANG KHUN THIAN,ทาวน์โฮม,Townhome,11,26727,2022-09-05
173,2021,7,BANGKOK,กรุงเทพมหานคร,พระโขนง,PHRA KHANONG,คอนโด,Condo,916,110492,2022-09-05
295,2021,3,BANGKOK,กรุงเทพมหานคร,ราชเทวี,RATCHATHEWI,คอนโด,Condo,1147,157971,2022-09-05
1099,2020,7,BANGKOK,กรุงเทพมหานคร,บางนา,BANG NA,คอนโด,Condo,100,82935,2022-09-05
143,2020,9,BANGKOK,กรุงเทพมหานคร,พระโขนง,PHRA KHANONG,คอนโด,Condo,114,94895,2022-09-05
1639,2021,4,NONTHABURI,นนทบุรี,บางบัวทอง,BANG BUA THONG,คอนโด,Condo,28,55265,2022-09-05
2137,2020,10,SAMUT PRAKAN,สมุทรปราการ,บางพลี,BANG PHLI,ทาวน์โฮม,Townhome,11,27096,2022-09-05
1691,2019,9,BANGKOK,กรุงเทพมหานคร,คันนายาว,KHAN NA YAO,คอนโด,Condo,35,61995,2022-09-05
2115,2021,11,PATHUM THANI,ปทุมธานี,เมืองปทุมธานี,MUEANG PATHUM THANI,ทาวน์โฮม,Townhome,25,21720,2022-09-05
2033,2021,12,BANGKOK,กรุงเทพมหานคร,บางแค,BANG KHAE,ทาวน์โฮม,Townhome,11,24698,2022-09-05
617,2020,1,SAMUT PRAKAN,สมุทรปราการ,เมืองสมุทรปราการ,MUEANG SAMUT PRAKAN,คอนโด,Condo,127,72601,2022-09-05
80,2019,6,BANGKOK,กรุงเทพมหานคร,บึงกุ่ม,BUENG KUM,คอนโด,Condo,21,56331,2022-09-05
951,2019,6,BANGKOK,กรุงเทพมหานคร,ราษฎร์บูรณะ,RAT BURANA,คอนโด,Condo,48,71636,2022-09-05
1140,2019,11,BANGKOK,กรุงเทพมหานคร,บางกอกใหญ่,BANGKOK YAI,คอนโด,Condo,94,74102,2022-09-05
731,2021,9,BANGKOK,กรุงเทพมหานคร,คลองสามวา,KHLONG SAM WA,คอนโด,Condo,11,38329,2022-09-05
801,2020,10,BANGKOK,กรุงเทพมหานคร,วัฒนา,VADHANA,คอนโด,Condo,357,152969,2022-09-05
1993,2019,11,BANGKOK,กรุงเทพมหานคร,ลาดพร้าว,LAT PHRAO,ทาวน์โฮม,Townhome,39,40497,2022-09-05
1271,2019,5,SAMUT PRAKAN,สมุทรปราการ,เมืองสมุทรปราการ,MUEANG SAMUT PRAKAN,คอนโด,Condo,65,74353,2022-09-05
1654,2019,2,BANGKOK,กรุงเทพมหานคร,ประเวศ,PRAWET,คอนโด,Condo,26,69505,2022-09-05
2,2019,6,BANGKOK,กรุงเทพมหานคร,จตุจักร,CHATUCHAK,คอนโด,Condo,371,106426,2022-09-05
104,2021,9,BANGKOK,กรุงเทพมหานคร,ลาดพร้าว,LAT PHRAO,คอนโด,Condo,132,82840,2022-09-05
1129,2021,8,BANGKOK,กรุงเทพมหานคร,ภาษีเจริญ,PHASI CHAROEN,คอนโด,Condo,194,78053,2022-09-05
840,2021,7,SAMUT PRAKAN,สมุทรปราการ,บางบ่อ,BANG BO,คอนโด,Condo,23,51319,2022-09-05
375,2021,3,BANGKOK,กรุงเทพมหานคร,ลาดกระบัง,LAT KRABANG,คอนโด,Condo,64,52309,2022-09-05
238,2019,10,BANGKOK,กรุงเทพมหานคร,ประเวศ,PRAWET,คอนโด,Condo,127,58239,2022-09-05
167,2021,1,BANGKOK,กรุงเทพมหานคร,ลาดกระบัง,LAT KRABANG,คอนโด,Condo,94,48705,2022-09-05
755,2021,6,BANGKOK,กรุงเทพมหานคร,ดินแดง,DIN DAENG,คอนโด,Condo,764,116071,2022-09-05
2196,2021,12,BANGKOK,กรุงเทพมหานคร,บึงกุ่ม,BUENG KUM,ทาวน์โฮม,Townhome,27,31674,2022-09-05
983,2020,6,BANGKOK,กรุงเทพมหานคร,ปทุมวัน,PATHUM WAN,คอนโด,Condo,30,108233,2022-09-05
175,2022,1,BANGKOK,กรุงเทพมหานคร,ประเวศ,PRAWET,คอนโด,Condo,152,58928,2022-09-05
2059,2021,3,SAMUT PRAKAN,สมุทรปราการ,บางพลี,BANG PHLI,ทาวน์โฮม,Townhome,36,27745,2022-09-05
72,2021,11,BANGKOK,กรุงเทพมหานคร,บางขุนเทียน,BANG KHUN THIAN,คอนโด,Condo,53,57713,2022-09-05
247,2021,7,BANGKOK,กรุงเทพมหานคร,บึงกุ่ม,BUENG KUM,คอนโด,Condo,55,77033,2022-09-05
1138,2021,10,BANGKOK,กรุงเทพมหานคร,ลาดพร้าว,LAT PHRAO,คอนโด,Condo,106,80502,2022-09-05
1822,2021,12,PATHUM THANI,ปทุมธานี,คลองหลวง,KHLONG LUANG,ทาวน์โฮม,Townhome,14,20465,2022-09-05
1671,2019,12,BANGKOK,กรุงเทพมหานคร,ลาดกระบัง,LAT KRABANG,คอนโด,Condo,21,47334,2022-09-05
796,2019,9,BANGKOK,กรุงเทพมหานคร,บางแค,BANG KHAE,คอนโด,Condo,24,60885,2022-09-05
1545,2020,9,BANGKOK,กรุงเทพมหานคร,สาทร,SATHON,คอนโด,Condo,60,132604,2022-09-05
2163,2021,12,BANGKOK,กรุงเทพมหานคร,พระนคร,PHRA NAKHON,ทาวน์โฮม,Townhome,90,28482,2022-09-05
939,2021,3,BANGKOK,กรุงเทพมหานคร,วังทองหลาง,WANG THONGLANG,คอนโด,Condo,126,57682,2022-09-05
254,2019,11,SAMUT PRAKAN,สมุทรปราการ,พระสมุทรเจดีย์,PHRA SAMUT CHEDI,คอนโด,Condo,32,24606,2022-09-05
1422,2021,10,BANGKOK,กรุงเทพมหานคร,คันนายาว,KHAN NA YAO,คอนโด,Condo,32,63782,2022-09-05
1222,2019,6,BANGKOK,กรุงเทพมหานคร,ห้วยขวาง,HUAI KHWANG,คอนโด,Condo,702,135206,2022-09-05
1188,2021,2,BANGKOK,กรุงเทพมหานคร,บางคอแหลม,BANG KHO LAEM,คอนโด,Condo,194,120004,2022-09-05
1709,2020,2,BANGKOK,กรุงเทพมหานคร,สวนหลวง,SUAN LUANG,คอนโด,Condo,53,65643,2022-09-05
719,2020,4,BANGKOK,กรุงเทพมหานคร,สวนหลวง,SUAN LUANG,คอนโด,Condo,57,62721,2022-09-05
403,2020,6,BANGKOK,กรุงเทพมหานคร,หลักสี่,LAK SI,คอนโด,Condo,13,58351,2022-09-05
1750,2021,8,BANGKOK,กรุงเทพมหานคร,คลองสามวา,KHLONG SAM WA,บ้าน,Detached House,17,28459,2022-09-05
1533,2021,11,BANGKOK,กรุงเทพมหานคร,บางพลัด,BANG PHLAT,คอนโด,Condo,441,79944,2022-09-05
835,2021,4,BANGKOK,กรุงเทพมหานคร,บางกอกน้อย,BANGKOK NOI,คอนโด,Condo,102,91957,2022-09-05
2011,2020,7,BANGKOK,กรุงเทพมหานคร,บางรัก,BANG RAK,บ้าน,Detached House,25,29677,2022-09-05
235,2019,3,BANGKOK,กรุงเทพมหานคร,ดินแดง,DIN DAENG,คอนโด,Condo,107,91969,2022-09-05
533,2019,2,BANGKOK,กรุงเทพมหานคร,ปทุมวัน,PATHUM WAN,คอนโด,Condo,32,150467,2022-09-05
89,2021,6,BANGKOK,กรุงเทพมหานคร,ดอนเมือง,DON MUEANG,คอนโด,Condo,18,52437,2022-09-05
1872,2022,1,NONTHABURI,นนทบุรี,ปากเกร็ด,PAK KRET,ทาวน์โฮม,Townhome,14,48448,2022-09-05
2124,2021,11,BANGKOK,กรุงเทพมหานคร,วังทองหลาง,WANG THONGLANG,ทาวน์โฮม,Townhome,23,36266,2022-09-05
490,2019,12,BANGKOK,กรุงเทพมหานคร,ประเวศ,PRAWET,คอนโด,Condo,23,59762,2022-09-05
84,2020,12,BANGKOK,กรุงเทพมหานคร,สาทร,SATHON,คอนโด,Condo,224,139566,2022-09-05
57,2021,3,BANGKOK,กรุงเทพมหานคร,หลักสี่,LAK SI,คอนโด,Condo,39,72003,2022-09-05
424,2019,3,BANGKOK,กรุงเทพมหานคร,ปทุมวัน,PATHUM WAN,คอนโด,Condo,32,125272,2022-09-05
797,2019,8,BANGKOK,กรุงเทพมหานคร,คันนายาว,KHAN NA YAO,คอนโด,Condo,14,66908,2022-09-05
1355,2021,6,NONTHABURI,นนทบุรี,บางบัวทอง,BANG BUA THONG,คอนโด,Condo,33,52257,2022-09-05
2109,2021,7,NONTHABURI,นนทบุรี,ปากเกร็ด,PAK KRET,ทาวน์โฮม,Townhome,23,36746,2022-09-05
172,2021,6,BANGKOK,กรุงเทพมหานคร,จตุจักร,CHATUCHAK,คอนโด,Condo,1749,120900,2022-09-05
1617,2021,2,BANGKOK,กรุงเทพมหานคร,ปทุมวัน,PATHUM WAN,คอนโด,Condo,603,197414,2022-09-05
1027,2020,3,BANGKOK,กรุงเทพมหานคร,พญาไท,PHAYA THAI,คอนโด,Condo,75,143335,2022-09-05
1747,2021,6,BANGKOK,กรุงเทพมหานคร,พระนคร,PHRA NAKHON,บ้าน,Detached House,51,33280,2022-09-05
1621,2020,5,BANGKOK,กรุงเทพมหานคร,สวนหลวง,SUAN LUANG,คอนโด,Condo,54,67340,2022-09-05
907,2021,6,BANGKOK,กรุงเทพมหานคร,พระโขนง,PHRA KHANONG,คอนโด,Condo,1032,114610,2022-09-05
2192,2022,2,BANGKOK,กรุงเทพมหานคร,บางรัก,BANG RAK,ทาวน์โฮม,Townhome,29,31637,2022-09-05
1105,2021,8,BANGKOK,กรุงเทพมหานคร,ดอนเมือง,DON MUEANG,คอนโด,Condo,30,72717,2022-09-05
500,2021,2,BANGKOK,กรุงเทพมหานคร,คลองเตย,KHLONG TOEI,คอนโด,Condo,1885,155289,2022-09-05
1501,2021,7,SAMUT PRAKAN,สมุทรปราการ,บางเสาธง,BANG SAO THONG,คอนโด,Condo,17,81481,2022-09-05
794,2021,9,BANGKOK,กรุงเทพมหานคร,คลองเตย,KHLONG TOEI,คอนโด,Condo,2914,151039,2022-09-05
1873,2022,1,BANGKOK,กรุงเทพมหานคร,ประเวศ,PRAWET,ทาวน์โฮม,Townhome,23,38485,2022-09-05
644,2021,2,BANGKOK,กรุงเทพมหานคร,มีนบุรี,MIN BURI,คอนโด,Condo,15,70222,2022-09-05
347,2022,2,BANGKOK,กรุงเทพมหานคร,ภาษีเจริญ,PHASI CHAROEN,คอนโด,Condo,68,65233,2022-09-05
169,2020,7,PATHUM THANI,ปทุมธานี,ธัญบุรี,THANYABURI,คอนโด,Condo,17,52805,2022-09-05
1586,2021,9,BANGKOK,กรุงเทพมหานคร,วังทองหลาง,WANG THONGLANG,คอนโด,Condo,187,74331,2022-09-05
380,2021,12,BANGKOK,กรุงเทพมหานคร,ลาดพร้าว,LAT PHRAO,คอนโด,Condo,151,67074,2022-09-05
969,2019,5,BANGKOK,กรุงเทพมหานคร,คลองสาน,KHLONG SAN,คอนโด,Condo,121,125124,2022-09-05
1881,2019,10,BANGKOK,กรุงเทพมหานคร,บางรัก,BANG RAK,ทาวน์โฮม,Townhome,20,543620,2022-09-05
1295,2019,9,BANGKOK,กรุงเทพมหานคร,บางซื่อ,BANG SUE,คอนโด,Condo,129,95830,2022-09-05
2112,2019,1,BANGKOK,กรุงเทพมหานคร,บางรัก,BANG RAK,ทาวน์โฮม,Townhome,24,305576,2022-09-05
466,2021,1,BANGKOK,กรุงเทพมหานคร,บางกอกใหญ่,BANGKOK YAI,คอนโด,Condo,87,73223,2022-09-05
1144,2022,1,BANGKOK,กรุงเทพมหานคร,จอมทอง,CHOM THONG,คอนโด,Condo,251,83574,2022-09-05
239,2021,12,BANGKOK,กรุงเทพมหานคร,วัฒนา,VADHANA,คอนโด,Condo,4811,159329,2022-09-05
792,2020,1,BANGKOK,กรุงเทพมหานคร,บางซื่อ,BANG SUE,คอนโด,Condo,63,86500,2022-09-05
925,2020,12,BANGKOK,กรุงเทพมหานคร,บางคอแหลม,BANG KHO LAEM,คอนโด,Condo,112,106151,2022-09-05
1788,2021,8,BANGKOK,กรุงเทพมหานคร,ประเวศ,PRAWET,บ้าน,Detached House,15,32911,2022-09-05
2135,2020,8,NONTHABURI,นนทบุรี,บางกรวย,BANG KRUAI,ทาวน์โฮม,Townhome,11,26610,2022-09-05
1123,2019,5,BANGKOK,กรุงเทพมหานคร,บางแค,BANG KHAE,คอนโด,Condo,15,70523,2022-09-05
1039,2020,7,BANGKOK,กรุงเทพมหานคร,จตุจักร,CHATUCHAK,คอนโด,Condo,191,104631,2022-09-05
2116,2020,11,SAMUT PRAKAN,สมุทรปราการ,เมืองสมุทรปราการ,MUEANG SAMUT PRAKAN,ทาวน์โฮม,Townhome,11,20137,2022-09-05
2070,2021,5,BANGKOK,กรุงเทพมหานคร,บางเขน,BANG KHEN,ทาวน์โฮม,Townhome,11,52152,2022-09-05
2199,2022,1,BANGKOK,กรุงเทพมหานคร,บางเขน,BANG KHEN,ทาวน์โฮม,Townhome,14,27797,2022-09-05
1869,2019,11,PATHUM THANI,ปทุมธานี,เมืองปทุมธานี,MUEANG PATHUM THANI,ทาวน์โฮม,Townhome,22,29530,2022-09-05
1108,2021,12,BANGKOK,กรุงเทพมหานคร,ดินแดง,DIN DAENG,คอนโด,Condo,797,116598,2022-09-05
400,2020,11,BANGKOK,กรุงเทพมหานคร,บางกะปิ,BANG KAPI,คอนโด,Condo,140,75267,2022-09-05
140,2021,8,BANGKOK,กรุงเทพมหานคร,คันนายาว,KHAN NA YAO,คอนโด,Condo,53,59120,2022-09-05
968,2020,8,BANGKOK,กรุงเทพมหานคร,บางกะปิ,BANG KAPI,คอนโด,Condo,196,69958,2022-09-05
426,2021,6,BANGKOK,กรุงเทพมหานคร,ยานนาวา,YAN NAWA,คอนโด,Condo,421,90654,2022-09-05
869,2020,12,BANGKOK,กรุงเทพมหานคร,ลาดกระบัง,LAT KRABANG,คอนโด,Condo,59,49999,2022-09-05
1211,2019,6,BANGKOK,กรุงเทพมหานคร,บางคอแหลม,BANG KHO LAEM,คอนโด,Condo,47,89698,2022-09-05
623,2019,12,BANGKOK,กรุงเทพมหานคร,บึงกุ่ม,BUENG KUM,คอนโด,Condo,15,54960,2022-09-05
1135,2019,3,BANGKOK,กรุงเทพมหานคร,บางพลัด,BANG PHLAT,คอนโด,Condo,20,81182,2022-09-05
1576,2019,12,BANGKOK,กรุงเทพมหานคร,คลองเตย,KHLONG TOEI,คอนโด,Condo,165,142191,2022-09-05
1517,2019,8,BANGKOK,กรุงเทพมหานคร,คลองสาน,KHLONG SAN,คอนโด,Condo,92,121790,2022-09-05
1995,2021,1,BANGKOK,กรุงเทพมหานคร,วังทองหลาง,WANG THONGLANG,บ้าน,Detached House,12,25827,2022-09-05
593,2021,2,BANGKOK,กรุงเทพมหานคร,จตุจักร,CHATUCHAK,คอนโด,Condo,1222,119243,2022-09-05
565,2019,3,BANGKOK,กรุงเทพมหานคร,บางเขน,BANG KHEN,คอนโด,Condo,16,60608,2022-09-05
1942,2021,3,NONTHABURI,นนทบุรี,ปากเกร็ด,PAK KRET,ทาวน์โฮม,Townhome,16,27028,2022-09-05
684,2019,6,BANGKOK,กรุงเทพมหานคร,คลองสาน,KHLONG SAN,คอนโด,Condo,276,122937,2022-09-05
1864,2021,4,NONTHABURI,นนทบุรี,ปากเกร็ด,PAK KRET,บ้านแฝด,Twin house,29,23576,2022-09-05
1549,2019,8,BANGKOK,กรุงเทพมหานคร,บางกะปิ,BANG KAPI,คอนโด,Condo,115,75598,2022-09-05
1660,2020,12,BANGKOK,กรุงเทพมหานคร,ทุ่งครุ,THUNG KHRU,คอนโด,Condo,18,38081,2022-09-05
264,2020,6,BANGKOK,กรุงเทพมหานคร,จอมทอง,CHOM THONG,คอนโด,Condo,22,73973,2022-09-05
1416,2019,7,BANGKOK,กรุงเทพมหานคร,บางซื่อ,BANG SUE,คอนโด,Condo,80,87681,2022-09-05
309,2021,1,BANGKOK,กรุงเทพมหานคร,คลองเตย,KHLONG TOEI,คอนโด,Condo,1790,153340,2022-09-05
1344,2021,3,NONTHABURI,นนทบุรี,บางบัวทอง,BANG BUA THONG,คอนโด,Condo,54,59676,2022-09-05
53,2019,6,SAMUT PRAKAN,สมุทรปราการ,บางพลี,BANG PHLI,คอนโด,Condo,46,67474,2022-09-05
1546,2019,10,BANGKOK,กรุงเทพมหานคร,บางขุนเทียน,BANG KHUN THIAN,คอนโด,Condo,24,60622,2022-09-05
988,2021,1,BANGKOK,กรุงเทพมหานคร,มีนบุรี,MIN BURI,คอนโด,Condo,24,96460,2022-09-05
325,2020,9,BANGKOK,กรุงเทพมหานคร,วัฒนา,VADHANA,คอนโด,Condo,252,158190,2022-09-05
1439,2020,10,BANGKOK,กรุงเทพมหานคร,ห้วยขวาง,HUAI KHWANG,คอนโด,Condo,391,103283,2022-09-05
764,2019,7,BANGKOK,กรุงเทพมหานคร,บางแค,BANG KHAE,คอนโด,Condo,23,62865,2022-09-05
1902,2021,10,NONTHABURI,นนทบุรี,บางกรวย,BANG KRUAI,บ้าน,Detached House,13,28938,2022-09-05
422,2021,2,BANGKOK,กรุงเทพมหานคร,พญาไท,PHAYA THAI,คอนโด,Condo,479,140958,2022-09-05
1841,2021,6,SAMUT PRAKAN,สมุทรปราการ,บางพลี,BANG PHLI,บ้าน,Detached House,22,27686,2022-09-05
784,2021,6,BANGKOK,กรุงเทพมหานคร,บางกอกใหญ่,BANGKOK YAI,คอนโด,Condo,64,74228,2022-09-05
596,2020,8,BANGKOK,กรุงเทพมหานคร,วังทองหลาง,WANG THONGLANG,คอนโด,Condo,60,64224,2022-09-05
696,2021,5,BANGKOK,กรุงเทพมหานคร,หลักสี่,LAK SI,คอนโด,Condo,54,72037,2022-09-05
810,2020,12,BANGKOK,กรุงเทพมหานคร,มีนบุรี,MIN BURI,คอนโด,Condo,23,67314,2022-09-05
1931,2021,3,BANGKOK,กรุงเทพมหานคร,ประเวศ,PRAWET,ทาวน์โฮม,Townhome,11,35670,2022-09-05
1563,2021,1,BANGKOK,กรุงเทพมหานคร,ลาดพร้าว,LAT PHRAO,คอนโด,Condo,61,70451,2022-09-05
1098,2019,4,BANGKOK,กรุงเทพมหานคร,ราชเทวี,RATCHATHEWI,คอนโด,Condo,137,154713,2022-09-05
1382,2020,4,SAMUT PRAKAN,สมุทรปราการ,บางพลี,BANG PHLI,คอนโด,Condo,20,65483,2022-09-05
97,2020,2,SAMUT PRAKAN,สมุทรปราการ,บางพลี,BANG PHLI,คอนโด,Condo,18,52260,2022-09-05
1321,2022,2,BANGKOK,กรุงเทพมหานคร,ลาดกระบัง,LAT KRABANG,คอนโด,Condo,40,51452,2022-09-05
1449,2021,4,BANGKOK,กรุงเทพมหานคร,คลองสาน,KHLONG SAN,คอนโด,Condo,441,121693,2022-09-05
1391,2020,8,BANGKOK,กรุงเทพมหานคร,สาทร,SATHON,คอนโด,Condo,93,128539,2022-09-05
1594,2019,4,BANGKOK,กรุงเทพมหานคร,ดินแดง,DIN DAENG,คอนโด,Condo,136,143839,2022-09-05
1410,2019,7,BANGKOK,กรุงเทพมหานคร,บางกอกน้อย,BANGKOK NOI,คอนโด,Condo,19,75553,2022-09-05
1650,2020,11,BANGKOK,กรุงเทพมหานคร,ราษฎร์บูรณะ,RAT BURANA,คอนโด,Condo,48,67672,2022-09-05
1224,2021,4,BANGKOK,กรุงเทพมหานคร,บางพลัด,BANG PHLAT,คอนโด,Condo,206,80658,2022-09-05
1674,2020,2,BANGKOK,กรุงเทพมหานคร,บึงกุ่ม,BUENG KUM,คอนโด,Condo,17,116840,2022-09-05
707,2021,1,BANGKOK,กรุงเทพมหานคร,วัฒนา,VADHANA,คอนโด,Condo,2193,152367,2022-09-05
1578,2019,11,NAKHON PATHOM,นครปฐม,พุทธมณฑล,PHUTTHAMONTHON,คอนโด,Condo,15,61065,2022-09-05
362,2021,10,NONTHABURI,นนทบุรี,บางบัวทอง,BANG BUA THONG,คอนโด,Condo,29,64355,2022-09-05
98,2020,12,BANGKOK,กรุงเทพมหานคร,บางขุนเทียน,BANG KHUN THIAN,คอนโด,Condo,33,58499,2022-09-05
1893,2021,1,BANGKOK,กรุงเทพมหานคร,บึงกุ่ม,BUENG KUM,ทาวน์โฮม,Townhome,22,27544,2022-09-05
1166,2020,12,BANGKOK,กรุงเทพมหานคร,พญาไท,PHAYA THAI,คอนโด,Condo,238,136599,2022-09-05
1235,2021,11,BANGKOK,กรุงเทพมหานคร,บางแค,BANG KHAE,คอนโด,Condo,155,65171,2022-09-05
103,2019,9,BANGKOK,กรุงเทพมหานคร,บางนา,BANG NA,คอนโด,Condo,217,73508,2022-09-05
2060,2019,11,BANGKOK,กรุงเทพมหานคร,พระนคร,PHRA NAKHON,บ้าน,Detached House,25,29321,2022-09-05
1978,2019,10,SAMUT PRAKAN,สมุทรปราการ,บางพลี,BANG PHLI,บ้าน,Detached House,25,34391,2022-09-05
1718,2020,11,BANGKOK,กรุงเทพมหานคร,คันนายาว,KHAN NA YAO,คอนโด,Condo,13,59715,2022-09-05
