row_number,transction_year,transction_month,listing_province_name_en,listing_province_name_th,listing_district_name_th,listing_district_name_en,project_propertytype_name_th,project_propertytype_name_en,total_listing,median_asking_price_sqm,day
2162,2019,11,BANGKOK,กรุงเทพมหานคร,บึงกุ่ม,BUENG KUM,ทาวน์โฮม,Townhome,58,49703,2022-09-05
1007,2021,10,SAMUT PRAKAN,สมุทรปราการ,เมืองสมุทรปราการ,MUEANG SAMUT PRAKAN,คอนโด,Condo,418,79859,2022-09-05
663,2019,4,BANGKOK,กรุงเทพมหานคร,สวนหลวง,PHATTHANAKAN,คอนโด,Condo,14,80309,2022-09-05
672,2022,1,SAMUT PRAKAN,สมุทรปราการ,เมืองสมุทรปราการ,MUEANG SAMUT PRAKAN,คอนโด,Condo,614,73660,2022-09-05
250,2019,4,BANGKOK,กรุงเทพมหานคร,บางแค,BANG KHAE,คอนโด,Condo,26,67293,2022-09-05
1526,2020,11,BANGKOK,กรุงเทพมหานคร,วังทองหลาง,WANG THONGLANG,คอนโด,Condo,54,54904,2022-09-05
1303,2019,6,PATHUM THANI,ปทุมธานี,คลองหลวง,KHLONG LUANG,คอนโด,Condo,16,63691,2022-09-05
1600,2019,6,BANGKOK,กรุงเทพมหานคร,พระโขนง,PHRA KHANONG,คอนโด,Condo,203,93977,2022-09-05
118,2019,11,BANGKOK,กรุงเทพมหานคร,วังทองหลาง,WANG THONGLANG,คอนโด,Condo,213,62995,2022-09-05
106,2021,7,BANGKOK,กรุงเทพมหานคร,บางเขน,BANG KHEN,คอนโด,Condo,145,75931,2022-09-05
546,2019,2,BANGKOK,กรุงเทพมหานคร,วัฒนา,VADHANA,คอนโด,Condo,176,153344,2022-09-05
4,2021,2,BANGKOK,กรุงเทพมหานคร,สวนหลวง,SUAN LUANG,คอนโด,Condo,391,68531,2022-09-05
793,2020,2,BANGKOK,กรุงเทพมหานคร,บางแค,BANG KHAE,คอนโด,Condo,21,65211,2022-09-05
